,tweet,favourite_count,retweet_count,created_at,autor,subjectividad,polaridad,analisis
0,___stars hola la primera she her sale chape,0,0,2022-06-21 01:45:17,hanserenito,0.0,0.0,Neutral
1,Le escribí hola y se desconectóPara mí  que se desmayo de la emoción JAJA,0,17252,2022-06-21 01:45:16,Robles_1218,0.0,0.0,Neutral
2, HOLA ESA ES MEI ,0,0,2022-06-21 01:45:14,Gaboide9,0.0,0.0,Neutral
3,Hola Por favor ayuda Desde el dia de ayer dejaron encerrado un perrito en esta ubicación        Carrera 17  7031,0,95,2022-06-21 01:45:14,DimeClarice,0.0,0.0,Neutral
4,Hola los invito a darle presave al album Saw Minecraft Games Original Game Soundtrack en Spotify ,0,15,2022-06-21 01:45:14,_thelunch,0.575,-0.012500000000000011,Negativo
5, Hola En Tigo estamos muy atentos a los comentarios de nuestros usuarios Si tienes una ,0,0,2022-06-21 01:45:14,Tigo_Colombia,0.0,0.0,Neutral
6, Hola ,0,0,2022-06-21 01:45:14,wily_casillas,0.0,0.0,Neutral
7, hola,0,0,2022-06-21 01:45:13,icoldcofffe,0.0,0.0,Neutral
8,un día empezaste a decir holi y nunca más dijiste hola,0,5796,2022-06-21 01:45:12,MartinaKuper,0.0,0.0,Neutral
9,Hola Bienvenid a este nuevo proyecto de CanaryPOP creado con muchísima ilusión Síguenos en Instagram ,0,0,2022-06-21 01:45:12,RancelPatricia,0.0,0.0,Neutral
10, Hola vamos a casarnos,0,0,2022-06-21 01:45:11,itsemperatrizzz,0.0,0.0,Neutral
11,_97 Hola vic,0,0,2022-06-21 01:45:10,hyunjinldss,0.0,0.0,Neutral
12,_Dieguez Hola  comencé a seguirte ,0,0,2022-06-21 01:45:09,carlosnelsonbor,0.0,0.0,Neutral
13,Hola Hace mucho tiempo que no abro mi cuenta aquí xD,0,0,2022-06-21 01:45:09,Matamitas25,0.0,0.0,Neutral
14, Hola cuentas con toda nuestra ayuda resolvamos lo ocurrido con el pago de tu orden Envía ,0,0,2022-06-21 01:45:09,Uber_Support,0.0,0.0,Neutral
15,hola por si no lo notaron somos exccdepresiones y por si no sabían esta es nuestra nueva cuenta 3 nos ayudaría si n,0,11,2022-06-21 01:45:09,jeonglixtasis,0.0,0.0,Neutral
16,Hola querés venir a dormir y nos abrazamos toda la noche,0,3954,2022-06-21 01:45:07,alexis_cc09,0.0,0.0,Neutral
17, Hola buenas tardes Bienvenido a la red 5G le atiende LM de Redes Sociales favor de enviar DM,0,0,2022-06-21 01:45:07,ServicioTelcel,0.0,0.0,Neutral
18,_Mini97 Hola como estas,0,0,2022-06-21 01:45:07,army_inlov,0.0,0.0,Neutral
19,HOLA A TODOS HOY LES VENGO A CONTAR CÓMO FUI AGREDIDA POR LOS ORGANIZADORES DEL YUMMY SHOP  GUAYAQUIL,0,373,2022-06-21 01:45:07,paolasgm1198,0.0,0.0,Neutral
20, Hola te presento un amigo  Esteban Lozano18 para que no gasten una millonada en un refuerzo este sig,0,41,2022-06-21 01:45:07,PacoTorres95,0.0,0.0,Neutral
21,un día empezaste a decir holi y nunca más dijiste hola,0,5796,2022-06-21 01:45:07,aayeeeli,0.0,0.0,Neutral
22, Busco mutuals    Hola no soy nuevo en  y  Busco mutis para pasar el ratito Juegos ,0,4,2022-06-21 01:45:05,Sunshine_ssusu,0.0,0.0,Neutral
23, Hola podemos ayudarte para ello requiero que primero nos sigas así nos podes enviar por Dm el númer ,0,0,2022-06-21 01:45:05,PersonalAr,0.0,0.0,Neutral
24,RT Citamos textualmente Hola buenas quiero ver si me pueden ayudar a encontrarla Ella,0,79,2022-06-21 01:45:05,larioscobr,0.0,0.0,Neutral
25, HOLA GRE LINDA basta me vas a hacer llorar trataré de venir mas seguido te amo,0,0,2022-06-21 01:45:05,91otbsl,0.0,0.0,Neutral
26,Hola gente él es mi amigo Gustavo requiere urgente un trasplante de pulmón afortunadamente ya tiene donador pero para s,0,61,2022-06-21 01:45:04,mayalandes,0.0,0.0,Neutral
27, AY HOLA CÉSAR,0,0,2022-06-21 01:45:04,sofiacovae,0.0,0.0,Neutral
28, Hola Gracias por escribirnos en cuanto revisemos los antecedentes aportados al DM responderemos ,0,0,2022-06-21 01:45:03,VTRsoporte,0.0,0.0,Neutral
29,un día empezaste a decir holi y nunca más dijiste hola,0,5796,2022-06-21 01:45:03,jenifer_jack,0.0,0.0,Neutral
